Role,Cluster,Type,Skills
"chief, reports branch. accounts maintenance and control","chief, reports branch. accounts maintenance and control_-1",role,"'accounts payable', 'financial systems analysis', 'critical thinking', 'financial reporting', 'program management'"
church administrator,church administrator_3,role,"'accounts payable', 'agency management', 'annual reports', 'account balancing', 'cash handling', 'contract management', 'cost accounting', 'finance', 'financial reporting', 'fiscal management', 'fund accounting', 'fund management', 'general ledger accounting', 'innovation management', 'newsletter creation', 'profitability analysis', 'report generation', 'time management'"
church administrator,church administrator_0,role,"'analytical skills', 'clerical skills', 'telephone skills'"
church administrator,church administrator_-1,role,"'business intelligence (bi)', 'fds software', 'functional testing', 'government regulations', 'grant writing', 'policy development', 'business process improvement', 'proposal writing', 'reconciliation', 'record keeping', 'technical support'"
church administrator,church administrator_2,role,"'copier operation', 'fax machine operation', 'document scanning'"
church administrator,church administrator_1,role,"'mac os', 'mainframe systems', 'system monitoring'"
church administrator,church administrator_4,role,"'microsoft access', 'microsoft powerpoint', 'microsoft publisher', 'quickbooks', 'microsoft word'"
claims examiner,claims examiner_0,role,"'accounts payable', 'accounts receivable', 'credit analysis'"
claims examiner,claims examiner_-1,role,"'data access', 'closing procedures', 'trial balance', 'driving'"
claims examiner,claims examiner_1,role,"'telephone skills', 'sales reporting', 'microsoft word', 'policy development', 'data entry', 'email communication', 'workflow management', 'quickbooks', 'administrative skills', 'microsoft powerpoint', 'insurance', 'general ledger', 'computer applications', 'delivery management'"
clinical administrator,clinical administrator_-1,role,"'administrative skills', 'learning management systems (lms)', 'professionalism', 'crm software', 'technical support'"
clinical engineering manager,clinical engineering manager_0,role,"'ge amx service', 'toshiba aquilion ct service', 'siemens e-cam service'"
clinical engineering manager,clinical engineering manager_1,role,"'supervisory skills', 'software proficiency'"
clinical engineering manager,clinical engineering manager_-1,role,"'cbmet', 'foresight imaging systems'"
co founder and coo,co founder and coo_1,role,"'camera operation', 'medical imaging', 'computer vision'"
co founder and coo,co founder and coo_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
co founder and coo,co founder and coo_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
co founder and coo,co founder and coo_0,role,"'data migration', 'data encryption', 'data interpretation'"
co founder vp of business development,co founder vp of business development_0,role,"'balance sheet preparation', 'bond trading', 'business development', 'clinical research', 'corporate finance', 'equity trading', 'finance', 'financial planning', 'fundraising', 'fund management', 'innovation management'"
co founder vp of business development,co founder vp of business development_-1,role,"'clinical trials', 'component object model (com)', 'graphical user interface (gui) design', 'computer networking', 'next.js'"
co founder vp of business development,co founder vp of business development_1,role,"'email communication', 'presentation skills', 'public speaking'"
collaborative user experience group intern,collaborative user experience group intern_-1,role,"'adobe dreamweaver', 'adobe photoshop', 'java programming', 'linux administration', 'mac os', 'matlab', 'perl programming', 'php programming', 'scheme programming', 'self-motivation'"
combat engineer,combat engineer_-1,role,"'basic computer skills', 'bridge engineering', 'quality inspection', 'marconi systems', 'oscilloscope operation', 'radar systems', 'radio communications', 'reading comprehension', 'signal generators', 'telephone skills'"
commercial auto underwriter,commercial auto underwriter_0,role,"'accounts payable', 'general ledger'"
commercial auto underwriter,commercial auto underwriter_1,role,"'accounts receivable', 'administrative skills', 'business intelligence (bi)', 'computer applications', 'credit analysis', 'data entry', 'delivery management', 'email communication', 'insurance', 'telephone skills', 'policy development', 'microsoft powerpoint', 'quickbooks', 'sales reporting', 'microsoft word', 'workflow management'"
commercial auto underwriter,commercial auto underwriter_-1,role,"'closing procedures', 'driving', 'trial balance'"
commercial relocation consultant,commercial relocation consultant_-1,role,"'billing', 'bookkeeping', 'contract administration', 'delivery management', 'directing', 'government regulations', 'invoicing', 'mentoring', 'policy development', 'relationship management', 'request for proposal (rfp)', 'sales management', 'staffing'"
committee chair,committee chair_-1,role,"'adobe photoshop', 'artificial intelligence', 'cyber ethics', 'differential equations', 'discrete mathematics', 'dropbox', 'google calendar', 'google drive', 'iwork', 'linux administration', 'mozilla thunderbird', 'mac os x', 'sublime text', 'textwrangler', 'unity (game engine)', 'unix terminal'"
committee chair,committee chair_1,role,"'android development', 'c# programming', 'ios development', 'java programming', 'swift programming', 'xamarin'"
committee chair,committee chair_0,role,"'computer graphics', 'microsoft visual studio'"
computer engineer,computer engineer_-1,role,"'junit', 'matlab', 'vhdl', 'visual studio code', 'wireshark'"
computer programmer,computer programmer_1,role,"'analytical skills', 'designer 2000', 'software developer', 'form design'"
computer programmer,computer programmer_2,role,"'billing', 'closing procedures', 'credit analysis', 'debit accounting', 'delivery management', 'finance', 'full product lifecycle management', 'fund management', 'general ledger accounting', 'policy development', 'business process improvement', 'research support', 'scheduling', 'tax preparation', 'tax accounting', 'utilities management'"
computer programmer,computer programmer_3,role,"'data entry', 'data fetching', 'oracle database', 'sql', 'database tables'"
computer programmer,computer programmer_-1,role,"'gnu debugger (gdb)', 'github', 'lucidchart', 'microsoft word', 'month-end close', 'os/2', 'postman api', 'proposal writing', 'reading comprehension', 'real estate', 'report generation', 'system integration', 'telephone skills'"
computer programmer,computer programmer_0,role,"'jira', 'leetcode', 'owasp zap'"
computer programmer analyst,computer programmer analyst_0,role,"'analytical skills', 'designer 2000', 'software developer', 'form design', 'proposal writing'"
computer programmer analyst,computer programmer analyst_1,role,"'billing', 'closing procedures', 'credit analysis', 'debit accounting', 'delivery management', 'finance', 'full product lifecycle management', 'fund management', 'general ledger accounting', 'policy development', 'business process improvement', 'research support', 'scheduling', 'tax preparation', 'tax accounting', 'utilities management'"
computer programmer analyst,computer programmer analyst_2,role,"'data entry', 'data fetching', 'oracle database', 'sql', 'database tables'"
computer programmer analyst,computer programmer analyst_-1,role,"'microsoft word', 'month-end close', 'os/2', 'reading comprehension', 'real estate', 'report generation', 'system integration', 'telephone skills'"
computer repair technician,computer repair technician_-1,role,"'ifixit pro tech toolkit', 'malwarebytes', 'memtest86', 'recuva', 'teamviewer', 'ultimate boot cd (ubcd)'"
computer science teacher,computer science teacher_-1,role,"'cascading style sheets (css)', 'angularjs'"
computer science tutor,computer science tutor_-1,role,"'angularjs', 'ruby on rails'"
computer scientist,computer scientist_0,role,"'it management', 'diagnostic software'"
computer scientist,computer scientist_1,role,"'hardware and software installation', 'computer networking'"
computer scientist,computer scientist_-1,role,"'long short-term memory (lstm)', 'pytorch'"
computer support specialist,computer support specialist_0,role,"'it management', 'diagnostic software'"
computer support specialist,computer support specialist_1,role,"'hardware and software installation', 'computer networking'"
computer support specialist,computer support specialist_-1,role,"'long short-term memory (lstm)', 'pytorch'"
computer teacher,computer teacher_-1,role,"'adobe dreamweaver', 'adobe photoshop', 'java programming', 'linux administration', 'mac os', 'matlab', 'perl programming', 'php programming', 'scheme programming', 'self-motivation'"
computer technician,computer technician_-1,role,"'ultimate boot cd (ubcd)', 'memtest86', 'hwinfo', 'teamviewer', 'recuva', 'powershell', 'operating system installation', 'malwarebytes', 'microsoft windows 10', 'driver booster', 'mcafee endpoint security', 'acronis true image'"
computer technologist,computer technologist_0,role,"'cabling installation', 'hardware installation', 'network installation', 'network design', 'operating systems', 'network troubleshooting'"
computer technologist,computer technologist_1,role,"'database administration', 'database programming', 'linux programming', 'java programming'"
computer technologist,computer technologist_-1,role,"'firewall administration', 'ip addressing', 'monitoring and evaluation (m&e)', 'negotiation'"
computer vision engineer,computer vision engineer_-1,role,"'image segmentation', 'opencv', 'pattern recognition', 'pillow (python imaging library)'"
computer vision scientist,computer vision scientist_-1,role,"'pytorch', 'r programming', 'snowflake', 'sql'"
computer/network instructor,computer/network instructor_-1,role,"'client-server architecture', 'decisiveness', 'desktop support', 'time management', 'functional testing', 'laptop repair', 'data migration', 'printer management', 'network interface cards (nics)', 'operations analysis', 'product improvement', 'solidworks', 'progress software', 'purchasing', 'raid configuration', 'root cause analysis', 'server administration', 'usability testing', 'data validation', 'windows vista'"
computer/network instructor,computer/network instructor_0,role,"'computer networking', 'computer sales', 'hp hardware', 'hp netservers', 'operating systems'"
computer/network instructor,computer/network instructor_1,role,"'technical specifications', 'technical planning', 'technical support'"
construction engineering supervisor,construction engineering supervisor_-1,role,"'basic computer skills', 'bridge engineering', 'quality inspection', 'marconi systems', 'oscilloscope operation', 'radar systems', 'radio communications', 'reading comprehension', 'signal generators', 'telephone skills'"
consultant,consultant_2,role,"'accounts payable', 'supervision', 'account management', 'invoice processing', 'finance', 'general ledger accounting', 'financial reporting', 'meeting management', 'business growth strategies', 'billing', 'business processes', 'invoicing', 'accounts receivable', 'bookkeeping'"
consultant,consultant_-1,role,"'focus erp', 'scheduling', 'conflict management', 'report generation', 'student support', 'microsoft powerpoint', 'business intelligence (bi)', 'shipping and receiving', 'data migration', 'grading and evaluation', 'progress software', 'balance sheet preparation', 'google docs', 'ibm db2', 'oracle database', 'procurement', 'master of business administration (mba)', 'devops', 'r programming', 'classroom monitoring', 'root cause analysis', 'sensor technology', 'microsoft access', 'router configuration', 'sql', 'quality inspection', 'esl teaching', 'email communication', 'component object model (com)', 'functional testing', 'profit and loss (p&l) analysis', 'software as a service (saas)'"
consultant,consultant_0,role,"'digital equipment corporation (dec) systems', 'computer networking', 'technology integration', 'operating systems'"
consultant,consultant_1,role,"'mathematics', 'geometry', 'algebra', 'quantitative analysis'"
consultant,consultant_3,role,"'tutoring', 'presentation skills'"
contracts processor,contracts processor_0,role,"'accounts payable', 'accounts receivable', 'accruals', 'billing'"
contracts processor,contracts processor_-1,role,"'acquisitions', 'anytime scheduler', 'closing procedures', 'contract management', 'credit analysis', 'frx financial reporting', 'insurance', 'jd edwards enterpriseone', 'job costing', 'kronos workforce management', 'lotus notes', 'sage mas 90', 'munis', 'netscape messenger', 'quickbooks'"
contracts processor,contracts processor_1,role,"'financial controller', 'fixed asset accounting', 'general ledger accounting'"
control systems engineer i / ii,control systems engineer i / ii_-1,role,"'engineering resource management', 'technical program management', 'commissioning'"
controller,controller_-1,role,"'adp ezlabor', 'microsoft powerpoint', 'team building', 'profit pluss 2k8', 'data access'"
controller,controller_1,role,"'real estate', 'financial planning', 'adp payroll', 'financial statement preparation'"
controller,controller_2,role,"'data warehousing', 'complyright software', 'quickbooks pro', 'keane care software', 'geometry', 'analytical skills', 'algebra', 'bi360', 'statistics', 'software as a service (saas)'"
controller,controller_0,role,"'ios development', 'appfolio'"
controller assistant,controller assistant_-1,role,'adp ezlabor'
controller assistant,controller assistant_0,role,"'adp payroll', 'analytical skills', 'financial planning', 'profit pluss 2k8', 'real estate'"
controller assistant,controller assistant_1,role,"'appfolio', 'complyright software', 'ios development', 'microsoft powerpoint', 'quickbooks pro'"
converting analyst,converting analyst_-1,role,"'construction management', 'facility modifications', 'recruiting', 'quality inspection', 'laser technology', 'negotiation', 'paper converting equipment operation', 'business process improvement', 'simulation', 'statistical process control (spc)', 'supervision'"
converting plant engineer,converting plant engineer_-1,role,"'construction management', 'facility modifications', 'recruiting', 'quality inspection', 'laser technology', 'negotiation', 'paper converting equipment operation', 'business process improvement', 'simulation', 'statistical process control (spc)', 'supervision'"
corp. accountant,corp. accountant_-1,role,"'chase paymentech', 'complex problem solving', 'epicor erp', 'general ledger accounting', 'glacier tax prep software', 'intuit payroll', 'netsuite', 'office master system', 'sage peachtree', 'quickbooks', 'sage accounting software'"
corporate associate / hr assistant,corporate associate / hr assistant_-1,role,"'benefits administration', 'billing', 'conference management', 'contract administration', 'form design', 'insurance', 'internet research', 'patient safety', 'telephone skills', 'policy development', 'presentation skills', 'pricing strategy', 'public relations (pr)', 'purchasing', 'scheduling', 'appointment scheduling', 'staffing', 'transportation logistics'"
corporate engineering support technician,corporate engineering support technician_-1,role,"'aaa security model', 'data access', 'active directory', 'anti-virus software', 'apple products', 'call center operations', 'ccna', 'command line interface (cli)', 'component object model (com)', 'critical thinking', 'root cause analysis', 'dynamic host configuration protocol (dhcp)', 'domain name system (dns)', 'microsoft edge', 'email communication', 'data encryption', 'file structures', 'form design', 'help desk support', 'modem configuration', 'open shortest path first (ospf)', 'microsoft powerpoint', 'router configuration', 'solidworks', 'secure sockets layer (ssl)', 'database tables', 'video conferencing', 'voice over ip (voip)'"
corporate engineering support technician,corporate engineering support technician_1,role,"'group policy', 'council management', 'insurance', 'policy development'"
corporate engineering support technician,corporate engineering support technician_0,role,"'software proficiency', 'basic computer skills', 'border gateway protocol (bgp)', 'browser support', 'cd-rom media', 'cisco', 'dell systems', 'firewall administration', 'hp hardware', 'network security', 'network troubleshooting', 'local area network (lan)', 'laptop repair', 'linux administration', 'mobile device support', 'windows installer (msi)', 'computer networking', 'operating systems', 'printer support', 'routing protocols', 'software installation', 'network switching', 'tcp/ip networking', 'technical support', 'virtual private network (vpn)', 'wide area network (wan)', 'windows 7'"
corporate process/systems engineering manager,corporate process/systems engineering manager_3,role,"'analytical skills', 'calculator skills'"
corporate process/systems engineering manager,corporate process/systems engineering manager_1,role,"'apple products', 'apple lion', 'apple numbers', 'apple pages'"
corporate process/systems engineering manager,corporate process/systems engineering manager_4,role,"'.net', 'microsoft access', 'microsoft project', 'microsoft visio', 'powersteering software', 'software training', 'vb.net', 'microsoft visual studio'"
corporate process/systems engineering manager,corporate process/systems engineering manager_-1,role,"'business objects', 'coaching', 'complex problem solving', 'cascading style sheets (css)', 'dmaic methodology', 'graphical user interface (gui) design', 'java programming', 'keynote', 'lean manufacturing', 'process flow diagram (pfd)', 'purchasing', 'reliability-centered maintenance (rcm)', 're-engineering', 'judgment', 'supervision', 'tango', 'user support', 'water treatment'"
corporate process/systems engineering manager,corporate process/systems engineering manager_2,role,"'change management', 'continuous improvement', 'facilities management', 'policy development', 'business process improvement'"
corporate process/systems engineering manager,corporate process/systems engineering manager_0,role,"'financial reporting', 'record keeping', 'report generation'"
corporate tax analyst,corporate tax analyst_-1,role,"'financial research', 'oracle database', 'quickbooks'"
cto,cto_1,role,"'camera operation', 'medical imaging', 'computer vision'"
cto,cto_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
cto,cto_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
cto,cto_0,role,"'data migration', 'data encryption', 'data interpretation'"
cto & founder,cto & founder_1,role,"'camera operation', 'medical imaging', 'computer vision'"
cto & founder,cto & founder_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
cto & founder,cto & founder_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
cto & founder,cto & founder_0,role,"'data migration', 'data encryption', 'data interpretation'"
customer care consultant,customer care consultant_0,role,"'analytical skills', 'designer 2000', 'software developer', 'form design', 'proposal writing'"
customer care consultant,customer care consultant_1,role,"'billing', 'closing procedures', 'credit analysis', 'debit accounting', 'delivery management', 'finance', 'full product lifecycle management', 'fund management', 'general ledger accounting', 'policy development', 'business process improvement', 'research support', 'scheduling', 'tax preparation', 'tax accounting', 'utilities management'"
customer care consultant,customer care consultant_2,role,"'data entry', 'data fetching', 'oracle database', 'sql', 'database tables'"
customer care consultant,customer care consultant_-1,role,"'microsoft word', 'month-end close', 'os/2', 'reading comprehension', 'real estate', 'report generation', 'system integration', 'telephone skills'"
customer service call center manager,customer service call center manager_-1,role,"'competitive analysis', 'content creation', 'contract management', 'fashion design', 'functional testing', 'marketing materials', 'computer networking', 'telephone skills', 'progress software', 'sales promotions', 'sales techniques'"
customer service professional,customer service professional_0,role,"'data access', 'conflict management'"
customer service professional,customer service professional_-1,role,'lighting design'
customer service professional,customer service professional_1,role,"'geographic information systems (gis)', 'microsoft powerpoint'"
customer service rep,customer service rep_-1,role,"'data warehousing', 'team building', 'pr software', 'ibm db2', 'computer programming', 'crm software', 'mathematics', 'sensor technology', 'microsoft access', 'accounts receivable', 'algebra', 'desktop publishing'"
customer service representative,customer service representative_0,role,"'microsoft project', 'adobe illustrator', 'microsoft visio'"
customer service representative,customer service representative_-1,role,"'office administration', 'team building', 'mathematics', 'medical devices', 'algebra', 'remedy itsm', 'digital logic', 'ibm db2', 'verilog hdl', 'software as a service (saas)', 'apache spark', 'windows 2000 server administration', 'manual testing', 'peripheral installation', 'conflict management', 'root cause analysis', 'business processes', '.net', 'adobe photoshop', 'jvs system', 'vbscript', 'chemistry', 'data warehousing', 'robotics', 'sensor technology', 'microsoft access'"
customer service representative,customer service representative_1,role,"'pascal programming', 'object-oriented programming (oop)', 'computer programming', 'java programming'"
customer service representative,customer service representative_2,role,"'linux administration', 'operating systems', 'unix'"
customer service representative / call center,customer service representative / call center_-1,role,"'competitive analysis', 'content creation', 'contract management', 'fashion design', 'functional testing', 'marketing materials', 'computer networking', 'telephone skills', 'progress software', 'sales promotions', 'sales techniques'"
data analyst,data analyst_0,role,"'data processing', 'data migration', 'predictive modeling', 'predictive analytics', 'business intelligence (bi)', 'exploratory data analysis', 'data visualization', 'computer vision', 'artificial intelligence', 'data warehousing', 'sql', 'logistic regression'"
data analyst,data analyst_-1,role,"'team building', 'scikit-learn', 'pandas (python library)', 'pyspark', 'r programming', 'ibm watson', 'statistics', 'data validation', 'root cause analysis', 'cascading style sheets (css)', 'natural language processing (nlp)', 'power bi', 'chemistry', 'tableau', 'opencv', 'postgresql', 'sensor technology', 'time series analysis'"
data analyst,data analyst_1,role,"'mathematics', 'algebra', 'geometry'"
data analyst (intern),data analyst (intern)_-1,role,"'presentation skills', 'financial reporting', 'cross-functional team leadership', 'business analysis mentoring', 'document reporting', 'fast learner', 'microsoft project', 'negotiation', 'oracle database', 'organization skills', 'project coordination', 'public speaking', 'statistical package for the social sciences (spss)'"
data analyst intern,data analyst intern_-1,role,"'l1/l2 regularization', 'power bi', 'r programming', 'tableau'"
data consultant,data consultant_-1,role,"'artificial intelligence', 'data warehousing', 'sql'"
data engineer,data engineer_1,role,"'linear regression', 'predictive modeling', 'logistic regression'"
data engineer,data engineer_-1,role,"'computer vision', 'team building', 'physics', 'devops', 'natural language processing (nlp)', 'algebra'"
data engineer,data engineer_2,role,"'business intelligence (bi)', 'data warehousing', 'multivariate analysis', 'postgresql', 'data storage', 'sql', 'nosql databases', 'big data analytics'"
data engineer,data engineer_0,role,"'r programming', 'java programming', 'perl programming'"
data engineer associate,data engineer associate_-1,role,"'data visualization', 'mongodb', 'power bi', 'predictive modeling'"
data evangelist,data evangelist_-1,role,"'azure databricks', 'data manipulation', 'power bi', 'pyspark', 'r programming', 'sql'"
data manager,data manager_-1,role,"'data gathering', 'predictive analytics'"
data managerial intern,data managerial intern_-1,role,"'data science', 'data visualization', 'natural language processing (nlp)', 'r programming', 'sql'"
data processing junior intern,data processing junior intern_-1,role,"'keras', 'natural language processing (nlp)', 'numpy', 'pandas (python library)', 'pyspark', 'scikit-learn'"
data programmer,data programmer_-1,role,"'data visualization', 'objective analysis', 'tableau'"
data scientist,data scientist_-1,role,"'team building', 'algebra', 'pyspark', 'process flow analysis', 'fraud detection', 'statistics', 'kubeflow', 'visual basic for applications (vba)', 'natural language processing (nlp)', 'credit risk analysis', 'power bi', 'chemistry', 'tableau', 'opencv', 'hindi language', 'mongodb', 'sensor technology', 'sql', 'matlab', 'time series analysis', 'logistic regression', 'keras'"
data scientist,data scientist_1,role,"'computer programming', 'pattern recognition', 'mathematics', 'business intelligence (bi)', 'r programming', 'data science', 'data visualization', 'scala programming', 'computer vision', 'c# programming', 'physics', 'regression analysis', 'artificial intelligence', 'data warehousing', 'java programming', 'nosql databases', 'market basket analysis'"
data scientist,data scientist_2,role,"'investment research', 'capital markets', 'market research'"
data scientist,data scientist_0,role,"'business processes', 'business solutions', 'business strategy'"
data scientist   analytics & insights,data scientist   analytics & insights_-1,role,"'data integration', 'data science', 'flask (python framework)', 'natural language processing (nlp)', 'predictive analytics', 'sql'"
data strategy and delivery specialist,data strategy and delivery specialist_-1,role,"'chatbot development', 'data science', 'apache kafka', 'keras', 'kubernetes', 'natural language processing (nlp)'"
data strategy and delivery specialist,data strategy and delivery specialist_1,role,"'pyspark', 'apache spark'"
data strategy and delivery specialist,data strategy and delivery specialist_0,role,"'pytorch', 'scikit-learn'"
deep learning engineer intern,deep learning engineer intern_0,role,"'credit risk modeling', 'fraud detection'"
deep learning engineer intern,deep learning engineer intern_-1,role,"'linux administration', 'natural language processing (nlp)', 'pyspark', 'r programming'"
deep learning engineer intern,deep learning engineer intern_1,role,"'portfolio analysis', 'predictive analytics'"
department supervisor/planner,department supervisor/planner_-1,role,"'content management system (cms)', 'delivery management', 'manufacturing engineering', 'manufacturing resource planning (mrp)', 'microsoft powerpoint', 'protel pcb design', 'purchasing', 'receiving', 'router configuration', 'scheduling', 'shipping and receiving', 'supervision', 'test equipment', 'electrical wiring'"
deputy data analyst,deputy data analyst_-1,role,"'data visualization', 'linear regression', 'predictive modeling', 'regression analysis', 'sql', 'tableau'"
design engineer,design engineer_-1,role,"'team building', 'material testing', 'algebra', 'pandas (python library)', 'bluehill testing software', 'labview', 'statistics', 'root cause analysis', 'sensor technology', 'ansys', 'al gore fea', 'pneumatics', 'sql', 'logistic regression'"
design engineer,design engineer_1,role,"'computer programming', 'plastics manufacturing', 'new product development', 'lean manufacturing', 'solidworks', 'pro/engineer'"
design engineer,design engineer_2,role,"'numpy', 'matlab'"
design engineer,design engineer_0,role,"'civil engineering', 'physics'"
developer,developer_0,role,"'computer vision', 'computer programming', 'data science', 'scikit-learn'"
developer,developer_-1,role,"'conflict management', 'big data analytics', 'data migration', 'team building', 'devops', 'matplotlib', 'java programming', 'bert', 'support vector machines (svm)', 'microsoft access', 'natural language processing (nlp)', 'sql', 'apache spark', 'flask (python framework)'"
developer,developer_1,role,"'pandas (python library)', 'pyspark'"
developer engineer,developer engineer_0,role,'predictive modeling'
"development designer, mechanical engineer, senior mechanical engineer","development designer, mechanical engineer, senior mechanical engineer_-1",role,"'construction management', 'facility modifications', 'recruiting', 'quality inspection', 'laser technology', 'negotiation', 'paper converting equipment operation', 'business process improvement', 'simulation', 'statistical process control (spc)', 'supervision'"
development engineer(solutions),development engineer(solutions)_-1,role,"'c# programming', 'eda software', 'matlab', 'natural language processing (nlp)', 'predictive modeling', 'sql'"
dining room attendant,dining room attendant_0,role,'cpr/first aid certified'
directed study,directed study_-1,role,"'julia programming', 'latex', 'linux administration', 'mac os x', 'matlab', 'r programming', 'weka'"
director,director_-1,role,"'request for proposal (rfp)', 'mentoring', 'chemistry', 'data warehousing', 'team building', 'relationship management', 'ibm db2', 'contract administration', 'billing', 'government regulations', 'invoicing', 'bookkeeping', 'delivery management', 'technical authoring', 'policy development', 'sales management', 'directing', 'staffing'"
director business development,director business development_0,role,"'contract negotiation', 'business development'"
director business development,director business development_-1,role,"'key account management', 'npi/jdm/odm'"
director business development,director business development_1,role,"'profit and loss (p&l) management', 'pricing'"
director of business development,director of business development_2,role,"'change management', 'account management', 'sales management', 'sales forecasting', 'vendor management', 'sales presentations', 'technical sales', 'brand management', 'advertising'"
director of business development,director of business development_-1,role,"'public relations (pr)', 'cold calling', 'presentation skills', 'chemistry', 'report generation', 'messaging systems', 'data warehousing', 'team building', 'pascal programming', 'competitive analysis', 'media relations', 'geometry', 'profit improvement', 'benefits administration', 'direct mail marketing', 'voice over ip (voip)', 'training materials', 'adobe illustrator', 'computer vision', 'real estate', '.net', 'adobe photoshop', 'purchasing', 'fast learner'"
director of business development,director of business development_1,role,"'client development', 'android development', 'business development', 'client engagement', 'content development', 'client support', 'business process improvement'"
director of business development,director of business development_0,role,"'works software', 'computer programming', 'software as a service (saas)'"
director of business development,director of business development_3,role,"'market expansion', 'market positioning', 'market research'"
director of engineering,director of engineering_-1,role,"'focus erp', 'venture capital', 'shipping and receiving', 'messaging systems', 'driving', 'electrical wiring', 'physics', 'performance reviews', 'california regulations', 'year-end processing', 'test equipment', 'closing procedures', 'credit analysis', 'hand tool operation', 'reading comprehension', 'content creation', 'presentation skills', 'mathematics', 'radio communications', 'first aid', 'recruiting', 'component object model (com)', 'plumbing', 'storytelling', 'hvac systems', 'carpentry', 'technical support'"
director of engineering,director of engineering_2,role,"'supervision', 'product management', 'skills', 'utilities management', 'product development', 'sales management', 'new product development', 'order management', 'apple products', 'record keeping', 'procurement', 'program management', 'meeting management', 'pricing strategy', 'market planning', 'property management', 'retail operations', 'workflow management', 'bookkeeping', 'contract management', 'database administration', 'insurance', 'product marketing', 'feature engineering', 'policy development', 'purchasing', 'finance'"
director of engineering,director of engineering_1,role,"'document scanning', 'camera operation', 'medical imaging', 'computer vision'"
director of engineering,director of engineering_0,role,"'data interpretation', 'data encryption', 'data migration'"
director of franchise sales,director of franchise sales_0,role,"'advertising', 'brand management', 'business development', 'competitive analysis', 'content development', 'market research', 'outside sales', 'market positioning', 'purchasing', 'technical sales', 'works software'"
director of franchise sales,director of franchise sales_-1,role,"'benefits administration', 'client support', 'fast learner', 'media relations', 'messaging systems', 'presentation skills', 'business process improvement', 'real estate', 'report generation', 'training materials'"
director of franchise sales,director of franchise sales_1,role,"'adobe illustrator', 'adobe photoshop', 'computer vision'"
director of quality assurance,director of quality assurance_0,role,"'c# programming', 'java programming', 'objective-c programming', 'quest software'"
director of quality assurance,director of quality assurance_1,role,"'cd-rom media', 'device drivers', 'mac os', 'multimedia production', 'operating systems', 'policy development', 'product development', 'usb technology', 'windows vista'"
director of quality assurance,director of quality assurance_-1,role,"'ceridian hris', 'cisco', 'cost reduction', 'functional testing', 'intel processors', 'linux administration', 'printer support', 'document scanning', 'scheduling', 'sound card configuration', 'sun microsystems', 'data validation'"
director of quality assurance,director of quality assurance_2,role,"'quality inspection', 'business process improvement'"
director of sales,director of sales_-1,role,"'team building', 'account management', 'profit and loss (p&l) management', 'software as a service (saas)', 'key account management', 'contract negotiation', 'business development', 'public relations (pr)', 'npi/jdm/odm', 'pricing', 'sensor technology', 'microsoft access'"
director of sales operations and business development,director of sales operations and business development_-1,role,"'business development', 'sales management'"
director software development,director software development_1,role,"'camera operation', 'medical imaging', 'computer vision'"
director software development,director software development_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
director software development,director software development_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
director software development,director software development_0,role,"'data migration', 'data encryption', 'data interpretation'"
"director, business development","director, business development_-1",role,"'demand generation', 'ibm db2', 'geometry', 'client engagement', 'data storage', 'interoperability', 'analytical skills', 'it support', 'government experience', 'software as a service (saas)'"
"director, national and strategic accounts   digital and applied imaging group","director, national and strategic accounts   digital and applied imaging group_-1",role,"'analytical skills', 'client engagement', 'data storage', 'demand generation', 'government experience', 'interoperability'"
